csd_id,metal,mol_idx,shield_rel,shield_nonrel,delta_shield
ABEFOF,Ag,32,59.183,54.782,4.401000000000003
ADUQEV,Ag,344,3387.892,188.382,3199.5099999999998
ADURAS,Ag,345,3042.295,146.957,2895.338
AGOBAA,Ag,507,3371.242,206.032,3165.21
AGOCOP,Ag,513,3334.906,201.883,3133.023
AMETOC,Ag,980,3364.366,212.773,3151.593
AQAPOA,Ag,1161,3293.059,195.501,3097.558
ASAVEW,Ag,1317,70.727,65.662,5.064999999999998
AVUSUF,Ag,1527,2959.122,145.42,2813.7019999999998
AZEQIH,Ag,1773,63.37,59.79,3.5799999999999983
AZEYOV,Ag,1780,53.71,49.316,4.393999999999998
BAQROB,Ag,2068,2296.045,39.227,2256.818
BECCET,Ag,2223,3062.119,159.566,2902.5530000000003
BEMWIB,Ag,2381,3294.057,184.136,3109.921
BILQET,Ag,2757,3078.365,156.082,2922.283
BILQIX,Ag,2758,2966.793,141.532,2825.261
BILQUJ,Ag,2759,3230.07,175.749,3054.3210000000004
BIWNOL,Ag,2885,3360.841,205.5,3155.341
BUBVAX,Ag,3318,3425.76,187.274,3238.4860000000003
BUKROP,Ag,3419,3441.002,187.025,3253.977
BUZNOB,Ag,3602,3194.688,191.522,3003.166
CAJHUT,Ag,3723,2748.901,135.263,2613.638
CAZGUG,Ag,3975,2976.71,162.372,2814.338
CELJEI,Ag,4168,3455.818,191.269,3264.549
CICZUM,Ag,4497,39.473,24.848,14.625
CIDBUP,Ag,4498,39.362,24.693,14.669
CISKEU,Ag,4730,3129.36,174.65,2954.71
CIWLED,Ag,4788,3660.026,205.309,3454.7169999999996
COHJUG,Ag,5017,3295.277,196.812,3098.465
COQNUU,Ag,5115,20.063,-10.3,30.363
COXSUF,Ag,5227,3503.194,199.145,3304.049
CUDNAS,Ag,5325,3323.442,203.229,3120.213
DAFBEV,Ag,5651,14.499,-13.926,28.425
DAKYUM,Ag,5786,3382.007,193.02,3188.987
